127.0.0.1, 2018-09-13 14:46:59, GET, /main/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2018-09-13 14:47:19, GET, /main/default/user/login, HTTP/1.1, 200, 0.103000
127.0.0.1, 2018-09-13 14:47:24, GET, /main/default/user/retrieve_password, HTTP/1.1, 200, 0.108000
127.0.0.1, 2018-09-13 14:47:26, GET, /main/default/user/register, HTTP/1.1, 200, 0.059000
127.0.0.1, 2018-09-13 14:47:33, GET, /main/default/user/retrieve_password, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-09-13 14:47:33, GET, /main/default/user/login, HTTP/1.1, 200, 0.035000
127.0.0.1, 2018-09-13 14:47:34, GET, /main, HTTP/1.1, 200, 0.033000
127.0.0.1, 2018-09-13 14:47:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-09-13 14:47:35, GET, /welcome/default/index, HTTP/1.1, 200, 0.080000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/default/peek/welcome/views/default/index.html, HTTP/1.1, 303, 0.259000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/default/index, HTTP/1.1, 200, 0.101000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/js/jquery.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/js/web2py.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/plugin_multiselect/start.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2018-09-13 14:59:56, GET, /admin/static/_2.17.1/css/bootstrap.min.css, HTTP/1.1, 200, 0.015000
